SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Regione;FullSiteCode;codicePluviometroCentroFunzionale;nomeStazioneCentroFunzionale2;codiceTermometroCentroFunzionale;nomeStazioneCentroFunzionale;Elevation_flag
170;163880;Scala - Pontone;14.60391667;40.64130556;145;Campania;OD:163880;45079;Scala - Pontone;NA;NA;1
171;304000;Chiusura Lambro;15.29108333;40.04608333;35;Campania;OD:304000;NA;NA;NA;NA;1
172;305000;Chiusura Mingardo;15.31636111;40.03552778;28;Campania;OD:305000;NA;NA;NA;NA;1
173;306000;Chiusura Sarno;14.47725;40.73202778;3;Campania;OD:306000;NA;NA;NA;NA;1
174;307000;Calore Irpino a pt Calore;14.94711111;41.05527778;209;Campania;OD:307000;NA;NA;NA;NA;1
175;310000;Chiusura Alento;15.13858333;40.17305556;3;Campania;OD:310000;NA;NA;NA;NA;1
176;311000;Sabato ad Atripalda;14.83183333;40.91772222;302;Campania;OD:311000;NA;NA;NA;NA;1
177;312000;Chiusura Bussento;15.50744444;40.07111111;10;Campania;OD:312000;NA;NA;NA;NA;1
178;313000;Chiusura Regi Lagni;14.14052778;41.03966667;10;Campania;OD:313000;NA;NA;NA;NA;1
179;314000;S.Mauro la Bruca;15.28858333;40.12797222;388;Campania;OD:314000;38545;S.Mauro la Bruca;38546;S.Mauro La Bruca;1
180;315000;Torraca;15.62769444;40.11577778;475;Campania;OD:315000;38548;Torraca;38549;Torraca;1
181;316000;Rofrano;15.43452778;40.21636111;592;Campania;OD:316000;38528;Rofrano;NA;NA;1
183;318000;Torchiara;15.05766667;40.32077778;337;Campania;OD:318000;38530;Torchiara;38531;Torchiara;1
184;322000;Sanza;15.55338889;40.24425;601;Campania;OD:322000;38496;Sanza;38497;Sanza;1
185;323000;Montesano Terme;15.70413889;40.27936111;863;Campania;OD:323000;38542;Montesano Terme;38543;Montesano Terme;1
187;326000;Gioi Cilento;15.22619444;40.29125;757;Campania;OD:326000;38533;Gioi Cilento;38534;Gioi Cilento;1
188;362000;Bracigliano;14.71116667;40.82480556;356;Campania;OD:362000;38443;Bracigliano;NA;NA;1
189;363000;Quindici Torre Vecchia;14.65733333;40.85508333;391;Campania;OD:363000;38485;Quindici Torre Vecchia;NA;NA;1
190;365000;Sarno (Acqued. Campano);14.59519444;40.83519444;285;Campania;OD:365000;38445;Sarno (Acqued. Campano);NA;NA;1
